"outcome","outcome_label","predictor","sample_month","fitted","residual","sqrt_abs_standardized_residual"
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-10",0.0180712665539569,0.0131862594515995,1.58980335502378
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-11",0.0161468439826761,-0.000911066582995017,0.39935315725965
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-12",0.0179984919194334,-0.00545190815097921,1.01809975969923
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-01",0.0163806893798184,-0.00217371688462557,0.616614666479331
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-02",0.0163860732557149,-0.00288666840525507,0.710582618994547
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-03",0.0176004791380629,-0.00575296990133081,1.02682715262498
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-04",0.0163838047891497,-0.00644189988242363,1.06150363526885
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-05",0.0157940557152514,-0.0038406463924788,0.822783887833915
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-06",0.0160314472887996,-0.0047837929724794,0.915783977460216
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-07",0.0153956613459163,-0.00353045813387705,0.795381654701616
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-08",0.0161990327991303,-0.000127607582987376,0.149425896187558
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-09",0.0163567271887736,-0.000451132661393083,0.281550244282321
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-10",0.0162006343552599,-0.000272653146344041,0.218779038593177
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-11",0.0155730238733393,-0.00247251207789047,0.662103819289779
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2023-12",0.0161542173508223,0.00870454999050759,1.23614558923351
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-01",0.0157427731964455,-0.000436645405333272,0.277563041252048
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-02",0.0161707818008965,-0.000632391191445133,0.333186828298953
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-03",0.0164995255090033,3.64982956025721e-05,0.0801648121068648
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-04",0.0152974414359911,0.00128007549672399,0.479163301016469
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-05",0.0150005455399374,-0.00390000907411567,0.843851147605948
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-06",0.0172876569699987,-0.00309909601423149,0.750890178671373
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-07",0.0168230244109684,0.0160713190038394,1.68969516803097
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-08",0.0167260996640417,-0.00643227125832117,1.0672034000051
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-09",0.016208462440363,-0.0039863337907028,0.836547305608319
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-10",0.0160041806086036,-0.00684190688007766,1.09634983069791
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-11",0.0164544914816281,0.00498233474513441,0.936261717609674
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2024-12",0.0162246117705257,-0.00254982603195317,0.669064396658979
