outcome,outcome_label,predictor,predictor_label,sample_month,predictor_value,case_value,n_cases
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-12,6.11984321948073,0.11544528234233706,5968
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-01,5.86446518557328,0.10378652534673165,1665
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-02,6.130124558145313,0.12362285909114457,11232
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-03,6.3341715009507515,0.11947002377751044,3337
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-04,5.588053555436853,0.10186797597531318,10875
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-05,5.403774135246251,0.07047574178426523,617
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-06,6.823354445533982,0.1223173917085001,3063
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-07,6.5349630608167315,0.08379457953436989,9220
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-08,6.474803131349269,0.06433476735073035,716
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-09,6.153512440852972,0.12248894064946649,4815
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-10,6.02671736550006,0.11312105589150714,1257
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-11,6.306219466032603,0.08603584245194772,15084
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-12,6.16353611998906,0.0815010691569658,3608
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-03,4.303174699727004,0.016501827591041036,26481
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-04,5.204340502830389,0.021131159830094587,5161
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-05,5.572073476834651,0.01942914186474022,6082
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-06,4.4275881058987245,0.028197841015705258,407
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-07,5.619299969599727,0.018791580774300258,1539
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-08,5.338697492221824,0.016428135348161444,306
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-09,5.389953584964042,0.013690102116264468,1790
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-10,6.456066475629389,0.03125752600555644,5249
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-11,5.2616024215582,0.015235777399681075,1117
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2022-12,6.410896206747798,0.012546583768454151,3741
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-01,5.406747217334802,0.014206972495192788,1613
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-02,5.410088919061863,0.013499404850459867,6233
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-03,6.163854851328894,0.01184750923673206,7551
