year_month,polarization,pol_ci_lower,pol_ci_upper,rep_raw_iqr,rep_raw_iqr_ci_lower,rep_raw_iqr_ci_upper,dem_raw_iqr,dem_raw_iqr_ci_lower,dem_raw_iqr_ci_upper,rep_n_articles,dem_n_articles,P,P_ci_lower,P_ci_upper,C_R,C_R_ci_lower,C_R_ci_upper,C_D,C_D_ci_lower,C_D_ci_upper,party_brand_index,pbi_ci_lower,pbi_ci_upper,max_pol_used,k_used,P_bootstrap_valid,C_R_bootstrap_valid,C_D_bootstrap_valid,pbi_bootstrap_valid
2023-12,40.423281061443845,36.71521526800082,44.14056433762025,34.708333333333336,29.0,39.08541666666663,20.0,15.0,20.0,258,240,0.86965309692028,0.6536228875543886,0.9514932151697104,0.4495291590946638,0.413739073522841,0.4929600952015595,0.5862960568842922,0.5687849557598766,0.6559139784946236,61.1984321948073,55.465372215717025,65.00751001476766,46.48207567430694,28.34375,5000,5000,5000,5000
2024-01,39.40252177887654,33.77213911135708,45.03891460475561,41.5,30.0,48.75,20.0,14.375,20.0,138,106,0.8476928193776071,0.6248879517540886,0.9631995149845746,0.4058165548098434,0.3673630040182048,0.47826734757776307,0.5862960568842922,0.5652173913043479,0.6703361344537815,58.644651855732796,52.52074238527434,64.4031766419734,46.48207567430694,28.34375,5000,5000,5000,5000
2024-02,41.889201128166896,38.822072052130224,44.82400865596567,36.666666666666664,31.785714285714285,40.0,20.0,15.0,20.0,455,259,0.9011904163161378,0.6864165456198322,0.9768261825759735,0.43598782246434875,0.39906103286384975,0.46681225017923633,0.5862960568842922,0.5682967959527825,0.665893271461717,61.30124558145313,55.500151365198704,64.71742233869692,46.48207567430694,28.34375,5000,5000,5000,5000
2024-03,41.88287375987609,36.28259917304552,47.239255387738076,40.0,34.15625000000001,50.0,13.333333333333332,7.2458333333333345,15.625,160,93,0.9010542914077938,0.6698311590885043,1.0,0.4147233653406493,0.35724286832524005,0.4501157857861788,0.6800799800049988,0.6363567440898752,0.7946436146093875,63.341715009507524,56.19176129521187,67.92291393655346,46.48207567430694,28.34375,5000,5000,5000,5000
2024-04,35.18767131484606,31.695486525188624,38.49486952970076,43.75,39.16666666666667,52.5,20.0,16.666666666666668,24.171874999999922,380,204,0.7570159207476208,0.5679169006448341,0.8331837299411288,0.39315127871694844,0.34667136999508674,0.42168674698795183,0.5862960568842922,0.5388515121683497,0.6271218311091034,55.880535554368535,49.23805855850833,58.37701316264386,46.48207567430694,28.34375,5000,5000,5000,5000
2024-05,35.80912090529779,29.019659099291186,42.7322832528401,47.25,32.5,60.0,23.541666666666668,14.375,38.75,63,104,0.7703855816639306,0.5505587029948279,0.9062414134417729,0.374948325754444,0.31125826683317936,0.45864887745591837,0.5462758482232483,0.41618881520877793,0.6632386676130888,54.03774135246251,44.5616963242477,61.707103255352074,46.48207567430694,28.34375,5000,5000,5000,5000
2024-06,46.48207567430694,39.882905755091784,52.95590259559305,30.0,20.625,48.33333333333333,15.0,10.0,17.875,70,166,1.0,0.7420798028040674,1.0,0.48580610605249064,0.372972972972973,0.5727138646773717,0.6539293439077145,0.6065551369978085,0.732443069127008,68.23354445533982,58.964252524291645,72.69753987763339,46.48207567430694,28.34375,5000,5000,5000,5000
2024-07,42.05405671286234,37.34682572993213,46.6653383653553,26.666666666666664,24.24791666666667,36.666666666666664,19.0,10.0,24.375,123,107,0.9047370648318058,0.6759875214898837,1.0,0.5152433251278167,0.43333321834322247,0.5432993406023392,0.5986798679867987,0.5392263110464518,0.736919081326068,65.34963060816732,57.27986480019663,70.65330973803742,46.48207567430694,28.34375,5000,5000,5000,5000
2024-08,40.50181432113925,29.09219778539394,51.557683447844056,25.0,5.0,57.5,20.0,10.0,35.0,36,54,0.8713426354909255,0.5702647379112822,1.0,0.5313415348564734,0.3275512890617089,0.8452124696781534,0.5862960568842922,0.4461774259554587,0.7346600331674958,64.74803131349269,46.93103338192839,77.27677256432713,46.48207567430694,28.34375,5000,5000,5000,5000
2024-09,38.40279819744461,33.428317550970576,43.09553889341094,26.25,21.666666666666664,36.25,23.833333333333332,16.5,32.5,112,126,0.8261850969506475,0.6133482584276138,0.9265974090600368,0.519175729822553,0.43684130494065754,0.566761230845936,0.5432222000399282,0.4583333333333333,0.6305079786989942,61.53512440852972,52.743253396458776,65.99627119861117,46.48207567430694,28.34375,5000,5000,5000,5000
2024-10,40.08625063999523,33.236367387674505,46.836119254582286,27.5,17.5,34.0625,28.33333333333333,16.25,38.125,84,69,0.8624023359213492,0.6319823085565798,0.9966197065836032,0.5075545607162842,0.44558419907699187,0.6138097216452013,0.5000918948722661,0.4205627751068937,0.632822622793451,60.267173655000605,52.108679165006585,68.55675955454537,46.48207567430694,28.34375,5000,5000,5000,5000
2024-11,41.0867992308096,37.23456377028746,44.76966193561548,27.5,25.0,32.5,22.36111111111111,15.5,23.571428571428573,257,187,0.8839278073272535,0.6675105610598663,0.9682768434522496,0.5075545607162842,0.45837134240600114,0.5359639984345195,0.5589947271108676,0.5335599396309548,0.6423611151656692,63.06219466032603,56.994806590910954,66.42688479870712,46.48207567430694,28.34375,5000,5000,5000,5000
2024-12,34.93691958961276,27.49202767734554,41.68779692401031,25.0,21.25,30.0,20.0,10.0,45.0,117,59,0.7516213310784701,0.5235678093214611,0.8791527227771356,0.5313415348564734,0.4838536013545782,0.5719033479314051,0.5862960568842922,0.3831750378857234,0.7419354838709677,61.6353611998906,48.4446290094088,69.36627841104477,46.48207567430694,28.34375,5000,5000,5000,5000
